,pm2.5,pm10,o3,no2,so2,co
2023-11-09,29.0,13.0,29.0,17.0,3.0,2.0
2023-11-08,39.0,10.0,32.0,9.0,1.0,2.0
2023-11-07,40.0,17.0,27.0,9.0,1.0,2.0
2023-11-06,58.0,17.0,23.0,18.0,2.0,2.0
2023-11-05,70.0,23.0,37.0,7.0,1.0,2.0
2023-11-04,76.0,27.0,41.0,22.0,2.0,3.0
2023-11-03,63.0,31.0,55.0,26.0,4.0,4.0
2023-11-02,53.0,23.0,29.0,33.0,1.0,4.0
2023-11-01,40.0,18.0,33.0,24.0,4.0,3.0
2023-10-31,20.0,13.0,22.0,22.0,3.0,3.0
2023-10-30,14.0,9.0,31.0,10.0,1.0,2.0
2023-10-29,48.0,6.0,31.0,4.0,1.0,2.0
2023-10-28,51.0,15.0,44.0,13.0,1.0,2.0
2023-10-27,39.0,18.0,35.0,24.0,2.0,3.0
2023-10-26,43.0,13.0,36.0,18.0,1.0,2.0
2023-10-25,38.0,15.0,33.0,13.0,1.0,2.0
2023-10-24,35.0,12.0,33.0,16.0,1.0,2.0
2023-10-23,14.0,11.0,25.0,19.0,1.0,3.0
2023-10-22,15.0,4.0,30.0,8.0,1.0,2.0
2023-10-21,46.0,4.0,30.0,6.0,1.0,5.0
2023-10-20,42.0,16.0,33.0,14.0,1.0,2.0
2023-10-19,31.0,14.0,39.0,18.0,1.0,3.0
2023-10-18,30.0,11.0,32.0,16.0,1.0,2.0
2023-10-17,24.0,9.0,38.0,12.0,1.0,2.0
2023-10-16,33.0,8.0,39.0,23.0,1.0,3.0
2023-10-14,28.0,12.0,38.0,16.0,1.0,3.0
2023-10-13,31.0,9.0,38.0,8.0,1.0,2.0
2023-10-12,24.0,10.0,36.0,9.0,1.0,2.0
2023-10-11,15.0,8.0,36.0,9.0,1.0,2.0
2023-10-10,11.0,6.0,29.0,15.0,2.0,2.0
2023-10-08,26.0,8.0,30.0,4.0,1.0,2.0
2023-10-07,22.0,9.0,33.0,5.0,1.0,3.0
2023-10-05,21.0,10.0,33.0,17.0,1.0,2.0
2023-10-04,27.0,11.0,28.0,13.0,1.0,2.0
2023-10-03,29.0,10.0,40.0,11.0,1.0,2.0
2023-10-02,42.0,10.0,37.0,8.0,2.0,2.0
2023-09-30,36.0,13.0,37.0,10.0,1.0,2.0
2023-09-29,52.0,16.0,35.0,9.0,1.0,2.0
2023-09-28,39.0,25.0,39.0,21.0,1.0,2.0
2023-09-27,41.0,18.0,44.0,16.0,1.0,2.0
2023-09-26,28.0,16.0,49.0,12.0,1.0,2.0
2023-09-25,21.0,11.0,38.0,7.0,1.0,2.0
2023-09-22,54.0,11.0,29.0,10.0,1.0,2.0
2023-09-20,26.0,18.0,48.0,13.0,1.0,3.0
2023-09-19,22.0,11.0,16.0,10.0,1.0,1.0
2023-09-18,36.0,9.0,13.0,7.0,1.0,1.0
2023-09-17,39.0,15.0,23.0,11.0,1.0,2.0
2023-09-16,37.0,18.0,37.0,13.0,1.0,2.0
2023-09-15,25.0,16.0,37.0,15.0,1.0,2.0
2023-09-14,35.0,12.0,10.0,18.0,3.0,2.0
2023-09-13,31.0,15.0,54.0,14.0,2.0,3.0
2023-09-12,23.0,14.0,33.0,12.0,2.0,2.0
2023-09-11,34.0,12.0,8.0,14.0,1.0,3.0
2023-09-10,31.0,15.0,24.0,10.0,2.0,2.0
2023-09-09,19.0,13.0,26.0,14.0,1.0,2.0
2023-09-08,26.0,11.0,28.0,7.0,1.0,1.0
2023-09-07,24.0,11.0,30.0,8.0,1.0,2.0
2023-09-06,25.0,10.0,16.0,13.0,1.0,2.0
2023-09-05,17.0,12.0,13.0,12.0,1.0,2.0
2023-09-04,26.0,9.0,7.0,10.0,1.0,1.0
2023-09-03,25.0,12.0,27.0,5.0,2.0,1.0
2023-09-02,24.0,11.0,18.0,12.0,1.0,2.0
2023-09-01,35.0,12.0,10.0,11.0,1.0,2.0
2023-08-31,33.0,18.0,9.0,12.0,1.0,2.0
2023-08-30,33.0,16.0,12.0,12.0,1.0,2.0
2023-08-29,31.0,15.0,28.0,15.0,1.0,2.0
2023-08-28,18.0,14.0,29.0,13.0,1.0,2.0
2023-08-27,17.0,10.0,22.0,3.0,1.0,1.0
2023-08-26,21.0,10.0,17.0,7.0,1.0,2.0
2023-08-25,21.0,11.0,9.0,11.0,1.0,2.0
2023-08-24,17.0,14.0,9.0,11.0,1.0,2.0
2023-08-23,18.0,11.0,5.0,8.0,1.0,2.0
2023-08-22,19.0,13.0,10.0,7.0,2.0,1.0
2023-08-21,49.0,10.0,23.0,8.0,3.0,1.0
2023-08-20,54.0,20.0,54.0,10.0,3.0,2.0
2023-08-19,42.0,25.0,51.0,13.0,2.0,3.0
2023-08-18,40.0,18.0,17.0,17.0,1.0,2.0
2023-08-17,60.0,21.0,15.0,15.0,1.0,2.0
2023-08-16,52.0,32.0,18.0,11.0,1.0,2.0
2023-08-15,35.0,30.0,20.0,7.0,1.0,1.0
2023-08-14,23.0,21.0,11.0,3.0,1.0,1.0
2023-08-13,26.0,12.0,13.0,4.0,1.0,1.0
2023-08-12,29.0,11.0,33.0,5.0,1.0,1.0
2023-08-11,37.0,16.0,20.0,2.0,1.0,1.0
2023-08-10,25.0,21.0,24.0,5.0,1.0,1.0
2023-08-09,22.0,16.0,7.0,8.0,1.0,2.0
2023-08-08,21.0,11.0,24.0,8.0,1.0,1.0
2023-08-07,37.0,9.0,11.0,12.0,1.0,2.0
2023-08-06,30.0,17.0,10.0,9.0,1.0,2.0
2023-08-05,47.0,12.0,20.0,9.0,1.0,1.0
2023-08-04,25.0,17.0,27.0,16.0,1.0,2.0
2023-08-03,23.0,11.0,11.0,8.0,2.0,2.0
2023-08-02,27.0,12.0,15.0,12.0,1.0,1.0
2023-08-01,29.0,13.0,23.0,16.0,1.0,1.0
2023-07-31,31.0,12.0,14.0,13.0,1.0,1.0
2023-07-30,32.0,13.0,27.0,10.0,1.0,2.0
2023-07-29,37.0,12.0,28.0,15.0,1.0,2.0
2023-07-28,50.0,14.0,28.0,19.0,1.0,1.0
2023-07-27,48.0,20.0,48.0,25.0,2.0,1.0
2023-07-26,44.0,18.0,67.0,26.0,2.0,2.0
2023-07-25,33.0,15.0,80.0,17.0,2.0,2.0
2023-07-24,34.0,14.0,29.0,16.0,1.0,2.0
2023-07-23,30.0,14.0,50.0,8.0,3.0,2.0
2023-07-22,36.0,11.0,36.0,5.0,1.0,2.0
2023-07-21,38.0,14.0,35.0,6.0,1.0,2.0
2023-07-20,60.0,16.0,30.0,8.0,1.0,2.0
2023-07-19,61.0,28.0,31.0,22.0,2.0,2.0
2023-07-18,51.0,25.0,85.0,24.0,2.0,3.0
2023-07-17,41.0,21.0,33.0,13.0,2.0,2.0
2023-07-16,28.0,18.0,17.0,18.0,2.0,2.0
2023-07-14,36.0,20.0,21.0,21.0,2.0,2.0
2023-07-13,60.0,14.0,22.0,15.0,1.0,2.0
2023-07-12,56.0,25.0,35.0,16.0,2.0,2.0
2023-07-11,64.0,24.0,42.0,20.0,2.0,2.0
2023-07-10,53.0,30.0,25.0,20.0,2.0,1.0
2023-07-09,53.0,23.0,18.0,5.0,1.0,1.0
2023-07-08,56.0,24.0,25.0,9.0,2.0,2.0
2023-07-07,31.0,26.0,55.0,24.0,2.0,3.0
2023-07-06,32.0,13.0,43.0,14.0,1.0,2.0
2023-07-05,46.0,12.0,32.0,15.0,1.0,2.0
2023-07-04,53.0,17.0,44.0,10.0,1.0,2.0
2023-07-03,25.0,25.0,57.0,22.0,2.0,2.0
2023-07-02,25.0,10.0,59.0,9.0,2.0,1.0
2023-07-01,53.0,13.0,26.0,10.0,1.0,1.0
2023-06-30,48.0,25.0,17.0,17.0,1.0,2.0
2023-06-29,61.0,23.0,24.0,23.0,2.0,2.0
2023-06-28,62.0,27.0,20.0,23.0,1.0,1.0
2023-06-27,59.0,25.0,33.0,25.0,2.0,2.0
2023-06-26,67.0,21.0,56.0,17.0,3.0,3.0
2023-06-25,56.0,25.0,76.0,10.0,3.0,4.0
2023-06-24,38.0,19.0,60.0,14.0,2.0,3.0
2023-06-23,27.0,14.0,29.0,20.0,1.0,2.0
2023-06-22,34.0,9.0,29.0,11.0,2.0,2.0
2023-06-21,35.0,11.0,42.0,8.0,3.0,1.0
